strategy_type,window_start,train_apr,test_apr,test_fees,test_il,test_gas,test_drawdown,test_rebalances,test_exits,params,indicators
exit_pool,1760594400000,379.66,112.66,13.7,2.04,27.0,0.38,6,10,"{""base_width_pct"": 8, ""exit_trend_pct"": 5, ""enter_trend_pct"": 2, ""trend_shift"": 0.2, ""buffer_pct"": 2}","{""ema_fast"": 10, ""ema_slow"": 100, ""atr_period"": 14, ""rsi_period"": 14}"
trend_following,1760594400000,213.59,115.95,14.95,2.77,13.0,0.31,12,0,"{""base_width_pct"": 8, ""trend_shift"": 0.35, ""buffer_pct"": 2}","{""ema_fast"": 10, ""ema_slow"": 30, ""atr_period"": 14, ""rsi_period"": 14}"
fixed,1760594400000,534.85,260.74,28.2,2.06,34.0,0.14,33,0,"{""base_width_pct"": 5, ""buffer_pct"": 0, ""width_pct"": 5}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
exit_pool,1763186400000,256.46,25.87,12.85,1.96,26.0,5.44,5,10,"{""base_width_pct"": 8, ""exit_trend_pct"": 5, ""enter_trend_pct"": 2, ""trend_shift"": 0.2, ""buffer_pct"": 2}","{""ema_fast"": 10, ""ema_slow"": 100, ""atr_period"": 14, ""rsi_period"": 14}"
trend_following,1763186400000,207.92,114.07,14.39,2.51,12.0,0.32,11,0,"{""base_width_pct"": 8, ""trend_shift"": 0.7, ""buffer_pct"": 2}","{""ema_fast"": 10, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
fixed,1763186400000,546.26,258.34,28.2,2.25,31.0,0.21,30,0,"{""base_width_pct"": 5, ""buffer_pct"": 0, ""width_pct"": 5}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
exit_pool,1765778400000,256.15,153.92,15.44,0.23,2.0,0.21,1,0,"{""base_width_pct"": 8, ""exit_trend_pct"": 5, ""enter_trend_pct"": 5, ""trend_shift"": 0.2, ""buffer_pct"": 2}","{""ema_fast"": 10, ""ema_slow"": 100, ""atr_period"": 14, ""rsi_period"": 14}"
trend_following,1765778400000,207.92,153.92,15.44,0.23,2.0,0.21,1,0,"{""base_width_pct"": 8, ""trend_shift"": 0.5, ""buffer_pct"": 2}","{""ema_fast"": 20, ""ema_slow"": 100, ""atr_period"": 14, ""rsi_period"": 14}"
fixed,1765778400000,541.2,287.36,29.35,0.89,17.0,0.08,16,0,"{""base_width_pct"": 5, ""buffer_pct"": 0, ""width_pct"": 5}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
exit_pool,1768370400000,214.12,108.9,13.82,2.36,11.0,0.42,10,0,"{""base_width_pct"": 8, ""exit_trend_pct"": 10, ""enter_trend_pct"": 1, ""trend_shift"": 0.6, ""buffer_pct"": 2}","{""ema_fast"": 10, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
trend_following,1768370400000,206.3,112.94,15.9,3.73,16.0,0.88,15,0,"{""base_width_pct"": 8, ""trend_shift"": 0.2, ""buffer_pct"": 2}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
fixed,1768370400000,547.7,233.68,26.87,3.11,40.0,0.27,39,0,"{""base_width_pct"": 5, ""buffer_pct"": 0, ""width_pct"": 5}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
exit_pool,1770962400000,204.35,128.52,14.77,1.67,9.0,0.36,8,0,"{""base_width_pct"": 8, ""exit_trend_pct"": 7, ""enter_trend_pct"": 1, ""trend_shift"": 0.2, ""buffer_pct"": 2}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
trend_following,1770962400000,204.35,128.52,14.77,1.67,9.0,0.36,8,0,"{""base_width_pct"": 8, ""trend_shift"": 0.2, ""buffer_pct"": 2}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
fixed,1770962400000,538.54,251.12,27.76,2.47,39.0,0.12,38,0,"{""base_width_pct"": 5, ""buffer_pct"": 0, ""width_pct"": 5}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
exit_pool,1773554400000,199.99,163.28,17.14,0.85,5.0,0.22,4,0,"{""base_width_pct"": 8, ""exit_trend_pct"": 5, ""enter_trend_pct"": 1, ""trend_shift"": 0.4, ""buffer_pct"": 2}","{""ema_fast"": 20, ""ema_slow"": 30, ""atr_period"": 14, ""rsi_period"": 14}"
trend_following,1773554400000,200.45,163.27,17.14,0.85,5.0,0.22,4,0,"{""base_width_pct"": 8, ""trend_shift"": 0.35, ""buffer_pct"": 2}","{""ema_fast"": 20, ""ema_slow"": 30, ""atr_period"": 14, ""rsi_period"": 14}"
fixed,1773554400000,529.19,278.31,29.07,1.38,22.0,0.13,21,0,"{""base_width_pct"": 5, ""buffer_pct"": 0, ""width_pct"": 5}","{""ema_fast"": 20, ""ema_slow"": 50, ""atr_period"": 14, ""rsi_period"": 14}"
